FactorGroup,Name,Currency,Price/Yield,Date,Value
,,,,2014/6/27,0
,,,,2014/6/30,0
,,,,2014/7/1,0
,,,,2014/7/2,0
,,,,2014/7/3,0
,,,,2014/7/4,0
,,,,2014/7/7,0
,,,,2014/7/8,0
,,,,2014/7/9,0
,,,,2014/7/10,0
,,,,2014/7/11,0
,,,,2014/7/14,0
,,,,2014/7/15,0
,,,,2014/7/16,0
,,,,2014/7/17,0
,,,,2014/7/18,0
,,,,2014/7/21,0
,,,,2014/7/22,0
,,,,2014/7/23,0
,,,,2014/7/24,0
,,,,2014/7/25,0
,,,,2014/7/28,0
,,,,2014/7/29,0
,,,,2014/7/30,0
,,,,2014/7/31,0
,,,,2014/8/1,0
,,,,2014/8/4,0
,,,,2014/8/5,0
,,,,2014/8/6,0
,,,,2014/8/7,0
,,,,2014/8/8,0
,,,,2014/8/11,0
,,,,2014/8/12,0
,,,,2014/8/13,0
,,,,2014/8/14,0
,,,,2014/8/15,0
,,,,2014/8/18,0
,,,,2014/8/19,0
,,,,2014/8/20,0
,,,,2014/8/21,0
,,,,2014/8/22,0
,,,,2014/8/25,0
,,,,2014/8/26,0
,,,,2014/8/27,0
,,,,2014/8/28,0
,,,,2014/8/29,0
,,,,2014/9/1,0
,,,,2014/9/2,0
,,,,2014/9/3,0
,,,,2014/9/4,0
FactorGroup,Name,Currency,Price/Yield,Date,Value
equity_data,J01IRVol,J01,Price,2012/10/5,1
,,,,2012/10/9,0.00872184
,,,,2012/10/10,7.29731e-005
,,,,2012/10/11,6.50088e-007
,,,,2012/10/12,5.77143e-009
,,,,2012/10/15,5.1642e-011
,,,,2012/10/16,4.88449e-013
,,,,2012/10/17,4.57258e-015
,,,,2012/10/18,4.38617e-017
,,,,2012/10/19,3.89801e-019
,,,,2012/10/22,3.48838e-021
,,,,2012/10/23,2.91628e-023
,,,,2012/10/24,2.64887e-025
,,,,2012/10/25,2.44113e-027
,,,,2012/10/26,2.23334e-029
,,,,2012/10/31,2.09202e-031
,,,,2012/11/1,2.00141e-033
,,,,2012/11/2,1.88352e-035
,,,,2012/11/5,1.74137e-037
,,,,2012/11/6,1.69365e-039
,,,,2012/11/7,1.59834e-041
,,,,2012/11/8,1.52747e-043
,,,,2012/11/9,1.43529e-045
,,,,2012/11/13,1.36969e-047
,,,,2012/11/14,1.24256e-049
,,,,2012/11/15,1.19209e-051
,,,,2012/11/16,1.29794e-053
,,,,2012/11/19,1.33409e-055
,,,,2012/11/20,1.34538e-057
,,,,2012/11/21,1.34886e-059
,,,,2012/11/23,1.40316e-061
,,,,2012/11/26,1.42149e-063
,,,,2012/11/27,1.44825e-065
,,,,2012/11/28,1.51381e-067
,,,,2012/11/29,1.58827e-069
,,,,2012/11/30,1.70454e-071
,,,,2012/12/3,1.76498e-073
,,,,2012/12/4,1.8519e-075
,,,,2012/12/5,2.06403e-077
,,,,2012/12/6,2.23447e-079
,,,,2012/12/7,2.44584e-081
,,,,2012/12/10,2.62701e-083
,,,,2012/12/11,2.77267e-085
,,,,2012/12/12,3.05453e-087
,,,,2012/12/13,3.22469e-089
,,,,2012/12/14,3.49662e-091
,,,,2012/12/19,3.83244e-093
,,,,2012/12/20,4.45351e-095
,,,,2012/12/21,4.8826e-097
,,,,2012/12/24,5.48366e-099
,,,,2012/12/26,6.17855e-101
,,,,2012/12/27,7.03133e-103
,,,,2012/12/28,7.79451e-105
,,,,2012/12/31,9.25199e-107
,,,,2013/1/4,1.13728e-108
,,,,2013/1/7,1.3437e-110
,,,,2013/1/8,1.58545e-112
,,,,2013/1/9,1.92736e-114
,,,,2013/1/10,2.42424e-116
,,,,2013/1/11,2.94275e-118
,,,,2013/1/14,3.57378e-120
,,,,2013/1/15,4.42667e-122
,,,,2013/1/16,5.45482e-124
,,,,2013/1/17,6.83605e-126
,,,,2013/1/18,8.80089e-128
,,,,2013/1/22,1.1181e-129
,,,,2013/1/23,1.41136e-131
,,,,2013/1/24,1.75303e-133
,,,,2013/1/25,2.26149e-135
,,,,2013/1/28,2.83013e-137
,,,,2013/1/29,3.82527e-139
,,,,2013/1/30,5.00106e-141
,,,,2013/1/31,6.29013e-143
,,,,2013/2/1,8.33832e-145
,,,,2013/2/4,1.08494e-146
,,,,2013/2/5,1.41763e-148
,,,,2013/2/6,1.88697e-150
,,,,2013/2/7,2.5051e-152
,,,,2013/2/8,3.4134e-154
,,,,2013/2/11,4.53865e-156
,,,,2013/2/12,6.18756e-158
,,,,2013/2/13,8.49338e-160
,,,,2013/2/14,1.1274e-161
,,,,2013/2/15,1.49934e-163
,,,,2013/2/19,2.07637e-165
,,,,2013/2/20,2.79657e-167
,,,,2013/2/21,3.79437e-169
,,,,2013/2/22,5.52288e-171
,,,,2013/2/25,7.59592e-173
,,,,2013/2/26,1.11821e-174
,,,,2013/2/27,1.68554e-176
,,,,2013/2/28,2.43969e-178
,,,,2013/3/1,3.47253e-180
,,,,2013/3/4,5.03148e-182
,,,,2013/3/5,7.49497e-184
,,,,2013/3/6,1.07667e-185
,,,,2013/3/7,1.55918e-187
,,,,2013/3/8,2.31222e-189
,,,,2013/3/11,3.45093e-191
,,,,2013/3/12,5.15437e-193
,,,,2013/3/13,7.54556e-195
,,,,2013/3/14,1.14983e-196
,,,,2013/3/15,1.7602e-198
,,,,2013/3/18,2.64584e-200
,,,,2013/3/19,3.97254e-202
,,,,2013/3/20,6.20967e-204
,,,,2013/3/21,9.5543e-206
,,,,2013/3/22,1.52207e-207
,,,,2013/3/25,2.33354e-209
,,,,2013/3/26,3.87232e-211
,,,,2013/3/27,6.1667e-213
,,,,2013/3/28,1.0074e-214
,,,,2013/4/1,1.61626e-216
,,,,2013/4/2,2.65763e-218
,,,,2013/4/3,4.12525e-220
,,,,2013/4/4,6.87326e-222
,,,,2013/4/5,1.16222e-223
,,,,2013/4/8,1.93813e-225
,,,,2013/4/9,3.32678e-227
,,,,2013/4/10,5.37761e-229
,,,,2013/4/11,9.10628e-231
,,,,2013/4/12,1.48478e-232
,,,,2013/4/15,2.33704e-234
,,,,2013/4/16,4.19482e-236
,,,,2013/4/17,6.68338e-238
,,,,2013/4/18,1.18389e-239
,,,,2013/4/19,2.11374e-241
,,,,2013/4/22,3.67821e-243
,,,,2013/4/23,6.29341e-245
,,,,2013/4/24,1.14261e-246
,,,,2013/4/25,1.95914e-248
,,,,2013/4/26,3.41574e-250
,,,,2013/4/29,6.15298e-252
,,,,2013/4/30,1.1335e-253
,,,,2013/5/1,2.03029e-255
,,,,2013/5/2,3.55121e-257
,,,,2013/5/3,6.34343e-259
,,,,2013/5/6,1.12567e-260
,,,,2013/5/7,2.09961e-262
,,,,2013/5/8,3.92139e-264
,,,,2013/5/9,6.81954e-266
,,,,2013/5/10,1.21526e-267
,,,,2013/5/13,2.21106e-269
,,,,2013/5/14,4.10607e-271
,,,,2013/5/15,7.733e-273
,,,,2013/5/16,1.39526e-274
,,,,2013/5/17,2.66856e-276
,,,,2013/5/20,5.08164e-278
,,,,2013/5/21,9.689e-280
,,,,2013/5/22,1.75203e-281
,,,,2013/5/23,3.09325e-283
,,,,2013/5/24,5.66118e-285
,,,,2013/5/28,1.05128e-286
,,,,2013/5/29,1.88237e-288
,,,,2013/5/30,3.55743e-290
,,,,2013/5/31,6.42458e-292
,,,,2013/6/3,1.25931e-293
,,,,2013/6/4,2.49569e-295
,,,,2013/6/5,4.77976e-297
,,,,2013/6/6,1.01935e-298
,,,,2013/6/7,2.07708e-300
,,,,2013/6/10,4.0818e-302
,,,,2013/6/11,7.80973e-304
,,,,2013/6/12,1.52755e-305
,,,,2013/6/13,3.44015e-307
,,,,2013/6/14,7.52536e-309
,,,,2013/6/17,1.57951e-310
,,,,2013/6/18,3.30248e-312
,,,,2013/6/19,6.10407e-314
,,,,2013/6/20,1.01466e-315
,,,,2013/6/21,2.16028e-317
,,,,2013/6/24,4.42302e-319
,,,,2013/6/25,1.03062e-320
,,,,2013/6/26,2.42092e-322
,,,,2013/6/27,4.94066e-324
,,,,2013/6/28,0
,,,,2013/7/1,0
,,,,2013/7/2,0
,,,,2013/7/3,0
,,,,2013/7/4,0
,,,,2013/7/5,0
,,,,2013/7/8,0
,,,,2013/7/9,0
,,,,2013/7/10,0
,,,,2013/7/11,0
,,,,2013/7/12,0
,,,,2013/7/15,0
,,,,2013/7/16,0
,,,,2013/7/17,0
,,,,2013/7/18,0
,,,,2013/7/19,0
,,,,2013/7/22,0
,,,,2013/7/23,0
,,,,2013/7/24,0
,,,,2013/7/25,0
,,,,2013/7/26,0
,,,,2013/7/29,0
,,,,2013/7/30,0
,,,,2013/7/31,0
,,,,2013/8/1,0
,,,,2013/8/2,0
,,,,2013/8/5,0
,,,,2013/8/6,0
,,,,2013/8/7,0
,,,,2013/8/8,0
,,,,2013/8/9,0
,,,,2013/8/12,0
,,,,2013/8/13,0
,,,,2013/8/14,0
,,,,2013/8/15,0
,,,,2013/8/16,0
,,,,2013/8/19,0
,,,,2013/8/20,0
,,,,2013/8/21,0
,,,,2013/8/22,0
,,,,2013/8/23,0
,,,,2013/8/26,0
,,,,2013/8/27,0
,,,,2013/8/28,0
,,,,2013/8/29,0
,,,,2013/8/30,0
,,,,2013/9/3,0
,,,,2013/9/4,0
,,,,2013/9/5,0
,,,,2013/9/6,0
,,,,2013/9/9,0
,,,,2013/9/10,0
,,,,2013/9/11,0
,,,,2013/9/12,0
,,,,2013/9/13,0
,,,,2013/9/16,0
,,,,2013/9/17,0
,,,,2013/9/18,0
,,,,2013/9/19,0
,,,,2013/9/20,0
,,,,2013/9/23,0
,,,,2013/9/24,0
,,,,2013/9/25,0
,,,,2013/9/26,0
,,,,2013/9/27,0
,,,,2013/9/30,0
,,,,2013/10/1,0
,,,,2013/10/2,0
,,,,2013/10/3,0
,,,,2013/10/4,0
,,,,2013/10/7,0
,,,,2013/10/8,0
,,,,2013/10/9,0
,,,,2013/10/10,0
,,,,2013/10/11,0
,,,,2013/10/15,0
,,,,2013/10/16,0
,,,,2013/10/17,0
,,,,2013/10/18,0
,,,,2013/10/21,0
,,,,2013/10/22,0
,,,,2013/10/23,0
,,,,2013/10/24,0
,,,,2013/10/25,0
,,,,2013/10/28,0
,,,,2013/10/29,0
,,,,2013/10/30,0
,,,,2013/10/31,0
,,,,2013/11/1,0
,,,,2013/11/4,0
,,,,2013/11/5,0
,,,,2013/11/6,0
,,,,2013/11/7,0
,,,,2013/11/8,0
,,,,2013/11/12,0
,,,,2013/11/13,0
,,,,2013/11/14,0
,,,,2013/11/15,0
,,,,2013/11/18,0
,,,,2013/11/19,0
,,,,2013/11/20,0
,,,,2013/11/21,0
,,,,2013/11/22,0
,,,,2013/11/25,0
,,,,2013/11/26,0
,,,,2013/11/27,0
,,,,2013/11/28,0
,,,,2013/11/29,0
,,,,2013/12/2,0
,,,,2013/12/3,0
,,,,2013/12/4,0
,,,,2013/12/5,0
,,,,2013/12/6,0
,,,,2013/12/9,0
,,,,2013/12/10,0
,,,,2013/12/11,0
,,,,2013/12/12,0
,,,,2013/12/13,0
,,,,2013/12/16,0
,,,,2013/12/17,0
,,,,2013/12/18,0
,,,,2013/12/19,0
,,,,2013/12/20,0
,,,,2013/12/23,0
,,,,2013/12/24,0
,,,,2013/12/25,0
,,,,2013/12/26,0
,,,,2013/12/27,0
,,,,2013/12/30,0
,,,,2013/12/31,0
,,,,2014/1/1,0
,,,,2014/1/2,0
,,,,2014/1/3,0
,,,,2014/1/6,0
,,,,2014/1/7,0
,,,,2014/1/8,0
,,,,2014/1/9,0
,,,,2014/1/10,0
,,,,2014/1/13,0
,,,,2014/1/14,0
,,,,2014/1/15,0
,,,,2014/1/16,0
,,,,2014/1/17,0
,,,,2014/1/21,0
,,,,2014/1/22,0
,,,,2014/1/23,0
,,,,2014/1/24,0
,,,,2014/1/27,0
,,,,2014/1/28,0
,,,,2014/1/29,0
,,,,2014/1/30,0
,,,,2014/1/31,0
,,,,2014/2/3,0
,,,,2014/2/4,0
,,,,2014/2/5,0
,,,,2014/2/6,0
,,,,2014/2/7,0
,,,,2014/2/10,0
,,,,2014/2/11,0
,,,,2014/2/12,0
,,,,2014/2/13,0
,,,,2014/2/18,0
,,,,2014/2/19,0
,,,,2014/2/20,0
,,,,2014/2/21,0
,,,,2014/2/24,0
,,,,2014/2/25,0
,,,,2014/2/26,0
,,,,2014/2/27,0
,,,,2014/2/28,0
,,,,2014/3/3,0
,,,,2014/3/4,0
,,,,2014/3/5,0
,,,,2014/3/6,0
,,,,2014/3/7,0
,,,,2014/3/10,0
,,,,2014/3/11,0
,,,,2014/3/12,0
,,,,2014/3/13,0
,,,,2014/3/14,0
,,,,2014/3/17,0
,,,,2014/3/18,0
,,,,2014/3/19,0
,,,,2014/3/20,0
,,,,2014/3/21,0
,,,,2014/3/24,0
,,,,2014/3/25,0
,,,,2014/3/26,0
,,,,2014/3/27,0
,,,,2014/3/28,0
,,,,2014/3/31,0
,,,,2014/4/1,0
,,,,2014/4/2,0
,,,,2014/4/3,0
,,,,2014/4/4,0
,,,,2014/4/7,0
,,,,2014/4/8,0
,,,,2014/4/9,0
,,,,2014/4/10,0
,,,,2014/4/11,0
,,,,2014/4/14,0
,,,,2014/4/15,0
,,,,2014/4/16,0
,,,,2014/4/17,0
,,,,2014/4/18,0
,,,,2014/4/21,0
,,,,2014/4/22,0
,,,,2014/4/23,0
,,,,2014/4/24,0
,,,,2014/4/25,0
,,,,2014/4/28,0
,,,,2014/4/29,0
,,,,2014/4/30,0
,,,,2014/5/1,0
,,,,2014/5/2,0
,,,,2014/5/5,0
,,,,2014/5/6,0
,,,,2014/5/7,0
,,,,2014/5/8,0
,,,,2014/5/9,0
,,,,2014/5/12,0
,,,,2014/5/13,0
,,,,2014/5/14,0
,,,,2014/5/15,0
,,,,2014/5/16,0
,,,,2014/5/19,0
,,,,2014/5/20,0
,,,,2014/5/21,0
,,,,2014/5/22,0
,,,,2014/5/23,0
,,,,2014/5/26,0
,,,,2014/5/27,0
,,,,2014/5/28,0
,,,,2014/5/29,0
,,,,2014/5/30,0
,,,,2014/6/2,0
,,,,2014/6/3,0
,,,,2014/6/4,0
,,,,2014/6/5,0
,,,,2014/6/6,0
,,,,2014/6/9,0
,,,,2014/6/10,0
,,,,2014/6/11,0
,,,,2014/6/12,0
,,,,2014/6/13,0
,,,,2014/6/16,0
,,,,2014/6/17,0
,,,,2014/6/18,0
,,,,2014/6/19,0
,,,,2014/6/20,0
,,,,2014/6/23,0
,,,,2014/6/24,0
