CurveSurface,CurveType,Name,ID,Datum,Relative Curve,RiskMetrics Link,Term Interp,Time Interp,CurveUnit,Surface,
,Index,C00256710_NASDAQ_ABAX_0,C00256710_NASDAQ_ABAX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,48.78,
,Index,C00258J10_NASDAQ_ABKI_0,C00258J10_NASDAQ_ABKI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.75,
,Index,C00282410_NYSE_ABT_0,C00282410_NYSE_ABT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,42.81,
,Index,C00287Y10_NYSE_ABBV_0,C00287Y10_NYSE_ABBV_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,55.57,
,Index,C00289620_NYSE_ANF_0,C00289620_NYSE_ANF_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,40.92,
,Index,C00300910_AMEX_FAX_0,C00300910_AMEX_FAX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,6.11,
,Index,C00301110_AMEX_IAF_0,C00301110_AMEX_IAF_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,8.84,
,Index,C00305P10_AMEX_IF_0,C00305P10_AMEX_IF_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,10.0562,
,Index,C00365410_NASDAQ_ABMD_0,C00365410_NASDAQ_ABMD_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,25.25,
,Index,C00383010_NASDAQ_AXAS_0,C00383010_NASDAQ_AXAS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,5.29,
,Index,C00388130_NASDAQ_ACTG_0,C00388130_NASDAQ_ACTG_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,17.63,
,Index,C00404A10_NASDAQ_ACHC_0,C00404A10_NASDAQ_ACHC_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,50.87,
,Index,C00422510_NASDAQ_ACAD_0,C00422510_NASDAQ_ACAD_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,27.93,
,Index,C00430L10_NASDAQ_ABPI_0,C00430L10_NASDAQ_ABPI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0020,
,Index,C00430M10_NASDAQ_ACLZ_0,C00430M10_NASDAQ_ACLZ_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,1.37,
