AAPL_C03783310_EQTV
ABT_C00282410_EQTV
ABX_C06790110_EQTV
ADBE_C00724F10_EQTV
AEDForward
AEDSpot
AFL_C00105510_EQTV
AFNSpot
AIG_C02687478_EQTV
AOASpot
APC_C03251110_EQTV
ARSForward
ARSInterbank
ARSSpot
AUDBBS3M
AUDBBSW
AUDForward
AUDInterbank
AUDSpot
AUDUSDCC
AVGO_CY0486S10_EQTV
AXP_C02581610_EQTV
AZN_C04635310_EQTV
BAC_C06050510_EQTV
BBDSpot
BCR_C06738310_EQTV
BDTSpot
BGNForward
BGNSpot
BHDForward
BHDSpot
BMDInterbank
BMDSpot
BMY_C11012210_EQTV
BOBSpot
BRKB_C08467070_EQTV
BRLForward
BRLInterbank
BRLSpot
BURL_C12201710_EQTV
BWPForward
BWPInterbank
BWPSpot
BZDSpot
C00000117_Index_SPALNSpot
C00036020_NASDAQ_AAONSpot
C00036110_NYSE_AIRSpot
C00037520_NYSE_ABBSpot
C00081T10_NYSE_ACCOSpot
C00095710_NYSE_ABMSpot
C00100410_NASDAQ_ADMTSpot
C00101J10_NYSE_ADTSpot
C00103110_NASDAQ_AEPISpot
C00105510_NYSE_AFLSpot
C00108410_NYSE_AGCOSpot
C00120410_NYSE_GASSpot
C00123620_NASDAQ_AGRTSpot
C00128210_NYSE_AHCSpot
C00130H10_NYSE_AESSpot
C00154710_NYSE_AKSSpot
C00163010_NASDAQ_ALRTSpot
C00163U10_NASDAQ_AMAGSpot
C00164V10_NASDAQ_AMCXSpot
C00165C10_NYSE_AMCSpot
C00174410_NYSE_AHSSpot
C00184X10_NYSE_AOLSpot
C00191G10_NYSE_ARCSpot
C00206R10_NYSE_TSpot
C00208J10_NASDAQ_ATPAQSpot
C00211Y20_NASDAQ_ABIOSpot
C00212110_NYSE_ATENSpot
C00214P10_NASDAQ_IPTKSpot
C00225510_NYSE_AUOSpot
C00234P10_NASDAQ_AVHISpot
C00242230_NASDAQ_AVTCSpot
C00244410_NYSE_AVXSpot
C00246W10_NASDAQ_AXTISpot
C00247410_NYSE_AZZSpot
C00253530_NYSE_AANSpot
C00253U40_NASDAQ_ASTMSpot
C00256710_NASDAQ_ABAXSpot
C00258J10_NASDAQ_ABKISpot
C00282410_NYSE_ABTSpot
C00287Y10_NYSE_ABBVSpot
C00289620_NYSE_ANFSpot
C00300910_AMEX_FAXSpot
C00301110_AMEX_IAFSpot
C00305P10_AMEX_IFSpot
C00365410_NASDAQ_ABMDSpot
C00383010_NASDAQ_AXASSpot
C00388130_NASDAQ_ACTGSpot
C00404A10_NASDAQ_ACHCSpot
C00422510_NASDAQ_ACADSpot
C00430L10_NASDAQ_ABPISpot
C00430M10_NASDAQ_ACLZSpot
C00436510_NASDAQ_ACDUSpot
C00438V10_NASDAQ_ACHISpot
C00439710_NASDAQ_ARAYSpot
C00439T20_NYSE_ACWSpot
C00444610_NASDAQ_ACETSpot
C00444T10_NASDAQ_ACRXSpot
C00448Q20_NASDAQ_ACHNSpot
C00449810_NASDAQ_ACIWSpot
C00484810_NASDAQ_ACFNSpot
C00484M10_NASDAQ_ACORSpot
C00485410_NYSE_ATVSpot
C00504W30_NASDAQ_ACPWSpot
C00507E10_NASDAQ_ACTSSpot
C00507V10_NASDAQ_ATVISpot
C00508B10_NASDAQ_BIRTSpot
C00508X20_NYSE_ATUSpot
C00508Y10_NYSE_AYISpot
C00509410_NASDAQ_ACTASpot
C00512510_NASDAQ_ACXMSpot
C00621210_NYSE_ADXSpot
C00685420_NASDAQ_ADEPSpot
C00687A10_NASDAQ_ADDYYSpot
C00724F10_NASDAQ_ADBESpot
C00738A10_NASDAQ_ADTNSpot
C00751Y10_NYSE_AAPSpot
C00752K20_NASDAQ_ACTCDSpot
C00756M40_NYSE_ASXSpot
C00762420_NASDAQ_ADXSSpot
C00762W10_NASDAQ_ABCOSpot
C00765F10_NYSE_AAVSpot
C00765X10_NASDAQ_ADMDSpot
C00766T10_NYSE_ACMSpot
C00767E10_NASDAQ_AEGRSpot
C00770C10_NASDAQ_ADESSpot
C00770F10_NASDAQ_AEGNSpot
C00776710_NYSE_ARXSpot
C00786510_NYSE_AROSpot
C00790310_NYSE_AMDSpot
C00792410_NYSE_AEGSpot
C00794710_NASDAQ_AERTSpot
C00797310_NASDAQ_AEISSpot
C00797410_NASDAQ_ADVSSpot
C00797530_NASDAQ_AEZSSpot
C00807310_NASDAQ_AVAVSpot
C00808P20_NASDAQ_AESAYSpot
C00808Y10_NASDAQ_AEMDSpot
C00817Y10_NYSE_AETSpot
C00825210_NYSE_AMGSpot
C00826A10_NASDAQ_AFFYSpot
C00826T10_NASDAQ_AFFXSpot
C00830V10_NASDAQ_ACCSSpot
C00846U10_NYSE_ASpot
C00847410_NYSE_AEMSpot
C00847G70_NASDAQ_AGENSpot
C00847J10_NASDAQ_AGYSSpot
C00847X10_NASDAQ_AGIOSpot
C00850P10_NASDAQ_AGRCSpot
C00856J10_NASDAQ_AGTKSpot
C00891610_NYSE_AGUSpot
C00911910_NASDAQ_AFLYYSpot
C00912830_NASDAQ_AIRMSpot
C00912X30_NYSE_ALSpot
C00915810_NYSE_APDSpot
C00922R10_NASDAQ_ATSGSpot
C00936310_NYSE_ARGSpot
C00941110_NASDAQ_AMCNSpot
C00971T10_NASDAQ_AKAMSpot
C01129510_NASDAQ_ALMESpot
C01152710_NYSE_AGISpot
C01165910_NYSE_ALKSpot
C01167P10_NASDAQ_ALSKSpot
C01234810_NYSE_AINSpot
C01242310_NASDAQ_AMRISpot
C01265310_NYSE_ALBSpot
C01381710_NYSE_AASpot
C01390430_NYSE_ALUSpot
C01449110_NYSE_ALEXSpot
C01449J10_NYSE_ALRSpot
C01527110_NYSE_ARESpot
C01535110_NASDAQ_ALXNSpot
C01625510_NASDAQ_ALGNSpot
C01625910_NASDAQ_ALIMSpot
C01643A10_NASDAQ_WTERSpot
C01643P10_NASDAQ_AASPSpot
C01643V10_NASDAQ_AAGCSpot
C01663B10_NASDAQ_AFSESpot
C01663C10_NASDAQ_PTPFSpot
C01741R10_NYSE_ATISpot
C01748X10_NASDAQ_ALGTSpot
C01849010_NYSE_AGNSpot
C01852230_NYSE_ALESpot
C01858110_NYSE_ADSSpot
C01858T10_NASDAQ_ACGXSpot
C01860630_NASDAQ_AIQSpot
C01861G10_NASDAQ_AHGPSpot
C01877210_NYSE_AOISpot
C01877R10_NASDAQ_ARLPSpot
C01879R10_NYSE_AWFSpot
C01880210_NYSE_LNTSpot
C01880410_NYSE_ATKSpot
C01881G10_NYSE_ABSpot
C01884710_NASDAQ_AASTSpot
C01934410_AMEX_ANVSpot
C01973R10_NYSE_ALSNSpot
C01988P10_NASDAQ_MDRXSpot
C02000210_NYSE_ALLSpot
C02005N10_NYSE_ALLYSpot
C02028310_AMEX_AAUSpot
C02040910_NASDAQ_AFAMSpot
C02043Q10_NASDAQ_ALNYSpot
C02052010_NYSE_ALJSpot
C02052T10_NYSE_ALDWSpot
C02076X10_NYSE_ANRSpot
C02077210_AMEX_APTSpot
C02081G10_NASDAQ_ATECSpot
C02083A10_NYSE_AWPSpot
C02109020_NASDAQ_APELYSpot
C02115210_NASDAQ_ALSESpot
C02144110_NASDAQ_ALTRSpot
C02152E20_NASDAQ_AEGYSpot
C02152X10_NASDAQ_AFAISpot
C02153P10_NASDAQ_ASIUQSpot
C02153W10_NYSE_RESISpot
C02154D10_NASDAQ_NGLPFSpot
C02208R10_NASDAQ_AIMCSpot
C02209S10_NYSE_MOSpot
C02227610_NYSE_ACHSpot
